name_long,name_short,IATA,ICAO,lat,long
稚内空港,稚内,WKJ,RJCW,45.404444444444444,141.80222222222224
釧路空港,釧路,KUH,RJCK,43.04083333333333,144.1927777777778
函館空港,函館,HKD,RJCH,41.769999999999996,140.82194444444445
旭川空港,旭川,AKJ,RJEC,43.670833333333334,142.4475
利尻空港,利尻,RIS,RJER,45.24194444444444,141.1875
帯広空港,帯広,OBO,RJCB,42.733333333333334,143.21722222222223
中標津空港,中標津,SHB,RJCN,43.5775,144.95999999999998
紋別空港,紋別,MBE,RJEB,44.30416666666667,143.40416666666667
女満別空港,女満別,MMB,RJCM,43.88055555555555,144.16416666666666
奥尻空港,奥尻,OIR,RJEO,42.073055555555555,139.42916666666665
新千歳空港,新千歳,CTS,RJCC,42.775,141.69222222222223
札幌飛行場,丘珠,OKD,RJCO,43.1175,141.3813888888889
青森空港,青森,AOJ,RJSA,40.733333333333334,140.68861111111113
三沢飛行場,三沢,MSJ,RJSM,40.70527777777778,141.37194444444447
花巻空港,花巻,HNA,RJSI,39.42861111111111,141.13527777777776
仙台空港,仙台,SDJ,RJSS,38.136944444444445,140.92249999999999
秋田空港,秋田,AXT,RJSK,39.61555555555556,140.2186111111111
大館能代空港,大館,ONJ,RJSR,40.19194444444444,140.37166666666667
山形空港,山形,GAJ,RJSC,38.41166666666666,140.3711111111111
庄内空港,庄内,SYO,RJSY,38.81222222222222,139.78722222222223
福島空港,福島,FKS,RJSF,37.2275,140.42805555555555
百里飛行場,百里,IBR,RJAH,36.18333333333333,140.42055555555555
成田国際空港,成田,NRT,RJAA,35.765277777777776,140.38555555555556
東京国際空港,羽田,HND,RJTT,35.55333333333333,139.78111111111113
大島空港,大島,OIM,RJTO,34.78194444444444,139.36027777777778
三宅島空港,三宅島,MYE,RJTQ,34.07361111111111,139.5602777777778
八丈島空港,八丈島,HAC,RJTH,33.115,139.78583333333333
東京都調布飛行場,調布,RJTF,RJTF,35.67166666666667,139.52805555555557
新島空港,新島,RJAN,RJAN,34.36944444444445,139.26833333333335
神津島空港,神津島,RJAZ,RJAZ,34.18611111111111,139.13666666666666
新潟空港,新潟,KIJ,RJSN,37.95583333333334,139.12055555555557
富山空港,富山,TOY,RJNT,36.64833333333333,137.1875
小松飛行場,小松,KMQ,RJNK,36.39388888888889,136.4075
能登空港,能登,NTQ,RJNW,37.29333333333333,136.9622222222222
松本空港,松本,MMJ,RJAF,36.166666666666664,137.92277777777778
静岡空港,静岡,FSZ,RJNS,34.79611111111111,138.18944444444446
名古屋飛行場,名古屋,NKM,RJNA,35.255,136.92444444444445
中部国際空港,中部,NGO,RJGG,34.858333333333334,136.8052777777778
大阪国際空港,大阪,ITM,RJOO,34.78444444444444,135.43916666666667
関西国際空港,関西,KIX,RJBB,34.43416666666666,135.23277777777778
神戸空港,神戸,UKB,RJBE,34.632777777777775,135.2238888888889
但馬飛行場,但馬,TJH,RJBT,35.51277777777778,134.78694444444443
南紀白浜空港,南紀白浜,SHM,RJBD,33.66222222222222,135.36444444444444
鳥取空港,鳥取,TTJ,TJOR,35.53,134.1663888888889
美保飛行場,美保,YGJ,RJOH,35.492222222222225,133.23638888888888
隠岐空港,隠岐,OKI,RJNO,36.17833333333333,133.32333333333332
出雲空港,出雲,IZO,RJOC,35.414722222222224,132.8861111111111
石見空港,石見,IWJ,RJOW,34.67305555555555,131.7927777777778
岡山空港,岡山,OKJ,RJOB,34.75694444444444,133.8552777777778
広島空港,広島,HIJ,RJOA,34.43611111111111,132.91944444444442
