name_long,name_short,IATA,ICAO,lat,long
釧路空港,釧路,KUH,RJCK,43.04083333333333,144.1927777777778
函館空港,函館,HKD,RJCH,41.769999999999996,140.82194444444445
旭川空港,旭川,AKJ,RJEC,43.670833333333334,142.4475
利尻空港,利尻,RIS,RJER,45.24194444444444,141.1875
帯広空港,帯広,OBO,RJCB,42.733333333333334,143.21722222222223
中標津空港,中標津,SHB,RJCN,43.5775,144.95999999999998
女満別空港,女満別,MMB,RJCM,43.88055555555555,144.16416666666666
奥尻空港,奥尻,OIR,RJEO,42.073055555555555,139.42916666666665
新千歳空港,新千歳,CTS,RJCC,42.775,141.69222222222223
札幌飛行場,丘珠,OKD,RJCO,43.1175,141.3813888888889
青森空港,青森,AOJ,RJSA,40.733333333333334,140.68861111111113
三沢飛行場,三沢,MSJ,RJSM,40.70527777777778,141.37194444444447
花巻空港,花巻,HNA,RJSI,39.42861111111111,141.13527777777776
仙台空港,仙台,SDJ,RJSS,38.136944444444445,140.92249999999999
秋田空港,秋田,AXT,RJSK,39.61555555555556,140.2186111111111
山形空港,山形,GAJ,RJSC,38.41166666666666,140.3711111111111
成田国際空港,成田,NRT,RJAA,35.765277777777776,140.38555555555556
東京国際空港,羽田,HND,RJTT,35.55333333333333,139.78111111111113
新潟空港,新潟,KIJ,RJSN,37.95583333333334,139.12055555555557
小松飛行場,小松,KMQ,RJNK,36.39388888888889,136.4075
松本空港,松本,MMJ,RJAF,36.166666666666664,137.92277777777778
中部国際空港,中部,NGO,RJGG,34.858333333333334,136.8052777777778
大阪国際空港,大阪,ITM,RJOO,34.78444444444444,135.43916666666667
関西国際空港,関西,KIX,RJBB,34.43416666666666,135.23277777777778
但馬飛行場,但馬,TJH,RJBT,35.51277777777778,134.78694444444443
南紀白浜空港,南紀白浜,SHM,RJBD,33.66222222222222,135.36444444444444
隠岐空港,隠岐,OKI,RJNO,36.17833333333333,133.32333333333332
出雲空港,出雲,IZO,RJOC,35.414722222222224,132.8861111111111
岡山空港,岡山,OKJ,RJOB,34.75694444444444,133.8552777777778
広島空港,広島,HIJ,RJOA,34.43611111111111,132.91944444444442
山口宇部空港,山口宇部,UBJ,RJDC,33.93,131.27861111111113
徳島飛行場,徳島,TKS,RJOS,34.132777777777775,134.6063888888889
高松空港,高松,TAK,RJOT,34.21416666666667,134.01555555555555
松山空港,松山,MYJ,RJOM,33.827222222222225,132.69972222222222
高知空港,高知,KCZ,RJOK,33.54611111111111,133.66944444444442
福岡空港,福岡,FUK,RJFF,33.58444444444444,130.45166666666665
北九州空港,北九州,KKJ,RJFR,33.845555555555556,131.035
長崎空港,長崎,NGS,RJFU,32.91694444444444,129.91361111111112
熊本空港,熊本,KMJ,RJFT,32.83722222222222,130.855
大分空港,大分,OIT,RJFO,33.476111111111116,131.7397222222222
宮崎空港,宮崎,KMI,RJFM,31.877222222222223,131.44861111111112
鹿児島空港,鹿児島,KOJ,RJFK,31.8,130.72166666666666
種子島空港,種子島,TNE,RJFG,30.605,130.99166666666665
屋久島空港,屋久島,KUM,RJFC,30.385555555555555,130.65916666666666
奄美空港,奄美,ASJ,RJKA,28.430833333333336,129.71249999999998
喜界空港,喜界島,KKX,RJKI,28.32138888888889,129.92805555555555
沖永良部空港,沖永良部,OKE,RJKB,27.43166666666667,128.70555555555555
与論空港,与論,RNJ,RORY,27.04388888888889,128.40166666666667
徳之島空港,徳之島,TKN,RJKN,27.836388888888887,128.8813888888889
那覇空港,那覇,OKA,ROAH,26.193333333333335,127.63972222222223
南大東空港,南大東島,MMD,ROMD,25.846666666666664,131.26361111111112
久米島空港,久米島,UEO,ROKJ,26.363611111111112,126.71388888888889
宮古空港,宮古島,MMY,ROMY,24.782777777777778,125.295
新石垣空港,石垣,ISG,ROIG,24.39638888888889,124.245
与那国空港,与那国,OGN,ROYN,24.467499999999998,122.97972222222222
多良間空港,多良間,TRA,RORT,24.653888888888886,124.67527777777778
北大東空港,北大東島,KTD,RORK,25.94472222222222,131.32694444444445
